UID,ID,AGE,LINE,RMK,BPEN,BGRP,RGRP,FAWT,BAND,WORK
00BR00001, 1098,6.0,00,LOW SW.BAG,UTI,A,7,154,2,n
00BR00002, 1564,6.0,00,,UTI,A,7,155,3,W
00BR00003, 1566,6.0,00,,UTI,A,7,147,3,W
00BR00004,  542,7.0,18,,UTI,A,7,135,3,W
00BR00005,  556,6.0,00,,UTI,A,7,180,3,W
00BR00006,  565,6.0,00,,UTI,A,7,182,1,n
00BR00007,  566,6.0,00,FIX BIG TAG**,UTI,A,7,208,5,n
00BR00008,  562,6.0,00,,UTI,A,7,158,3,W
00BR00009,  580,6.0,00,OLD4035NEW580,UTI,A,7,155,3,W
00BR00010,  573,6.0,00,"OLD101,NEW573",UTI,A,7,164,3,W
00BR02876,Z5722,1.0,ch,,BF,3,2,123,2,W
00BR02877,Z5778,1.0,ch,,BF,3,2,152,5,W
00BR02878,Z6014,1.0,00,,UTI,A,7,171,3,W
00BR02879,Z6004,1.0,00,DYSTOCIA,UTI,A,7,137,3,W
00BR02880,Z6006,1.0,00,,UTI,A,7,125,3,W
00BR02881,Z6031,1.0,00,,UTI,A,7,150,3,W
00BR02882,Z6050,1.0,00,,UTI,A,7,167,3,W
00BR02883,Z6056,1.0,00,,UTI,A,7,151,3,W
00BR02884,   84,6.0,00,HUMPHREY,UTI,A,7,157,3,W
00BR02885,   97,6.0,00,,UTI,A,7,153,3,W
