AAID,ID10,ETAG,YRREC,PEN,RGRP,LOT,BAND,TRT,BPEN,BGRP,STUDY,STUDYTRT
AA102007000647,2007000647,00647,2010,,,,M,,,,,
AA102007000712,2007000712,00712,2010,,,,M,,,,,
AA102007000740,2007000740,00740,2010,,,,M,,,,,
AA102003303022,2003303022,03022,2010,FL-,7,RN,T,X,,,CxP,Albmn
AA102003303058,2003303058,03058,2010,FL-,7,RN,T,X,,,CxP,Albmn
AA102003303060,2003303060,03060,2010,FL-,7,RN,T,X,,,CxP,Albmn
AA102003303083,2003303083,03083,2010,FL-,7,RN,T,X,,,CxP,Albmn
AA102003303085,2003303085,03085,2010,FL-,7,RN,T,X,,,CxP,
AA102003303160,2003303160,03160,2010,FL-,7,OVX,D,X,Ovx,O,CxP,
AA102007007142,2007007142,07142,2010,,,,M,,,,,
AA102005003101,2005003101,03101,2010,,0,III,H,.,,,marc,
AA102005003178,2005003178,03178,2010,,0,III,3,.,,,marc,
AA102005003193,2005003193,03193,2010,,0,III,D,.,,,marc,
AA102007000371,2007000371,20371,2010,,,,M,,,,,
AA102002049034,2002049034,A9034,2010,e62,0,.,1,.,,,Poly,
AA102002049062,2002049062,A9062,2010,55,0,.,D,.,,,Poly,Albmn
AA102002049458,2002049458,A9458,2010,53,0,.,2,.,,,Poly,
AA102002049511,2002049511,A9511,2010,01,0,Lww,1,.,,,Poly,Albmn
AA102002049545,2002049545,A9545,2010,04,0,Lww,2,.,,,Poly,
AA102002049667,2002049667,A9667,2010,53,0,.,D,.,,,Poly,
AA102002049715,2002049715,A9715,2010,04,0,Lww,2,.,,,Poly,Albmn
AA102003050419,2003050419,H0419,2010,e13,0,.,1,.,,,Poly,
AA102003050432,2003050432,H0432,2010,e13,0,.,1,.,55,2,Poly,
AA102003050484,2003050484,H0484,2010,31P,0,.,1,.,54,2,Poly,
AA102003050495,2003050495,H0495,2010,33P,0,.,1,.,69,2,Poly,
AA102003050601,2003050601,H0601,2010,e10,0,.,1,.,55,2,Poly,
AA102003050639,2003050639,H0639,2010,e11,0,.,1,.,,,Poly,
AA102003050640,2003050640,H0640,2010,31P,0,.,,.,,,Poly,
AA102003050643,2003050643,H0643,2010,e13,0,.,D,.,57,2,Poly,
AA102003050653,2003050653,H0653,2010,33P,0,.,2,.,64,2,Poly,
AA102003050671,2003050671,H0671,2010,32P,0,.,2,.,,,Poly,
AA102003050702,2003050702,H0702,2010,32P,0,.,2,.,69,2,Poly,
AA102004050755,2004050755,H0755,2010,14P,0,Ctl,D,.,54,2,Poly,
AA102004050780,2004050780,H0780,2010,04P,0,Flw,2,.,57,2,Poly,
AA102004050824,2004050824,H0824,2010,14P,0,Ctl,D,.,,,Poly,
AA102004050834,2004050834,H0834,2010,23P,0,Ctl,1,.,68,2,Poly,
AA102004050850,2004050850,H0850,2010,22P,0,Ctl,D,.,66,2,Poly,
AA102004050871,2004050871,H0871,2010,01P,0,Flw,2,.,65,2,Poly,
AA102004050876,2004050876,H0876,2010,03P,0,Flw,2,.,,,Poly,Albmn
AA102004050888,2004050888,H0888,2010,04P,0,Flw,D,.,,,Poly,Spurge
AA102004050892,2004050892,H0892,2010,04P,0,Flw,1,.,67,2,Poly,
AA102004050896,2004050896,H0896,2010,02P,0,Flw,2,.,65,2,Poly,
AA102004050906,2004050906,H0906,2010,e10,0,.,D,.,,,Poly,
AA102004050951,2004050951,H0951,2010,16P,0,Ctl,2,.,67,2,Poly,
AA102004050960,2004050960,H0960,2010,e.9,0,.,1,.,,,Poly,
AA102004050987,2004050987,H0987,2010,22P,0,Ctl,1,.,69,2,Poly,
AA102004050988,2004050988,H0988,2010,22P,0,Ctl,1,.,64,2,Poly,
AA102004051006,2004051006,H1006,2010,01P,0,Flw,,.,,,Poly,
AA102004051008,2004051008,H1008,2010,01P,0,Flw,1,.,,,Poly,
AA102004051044,2004051044,H1044,2010,21P,0,Ctl,1,.,,,Poly,Albmn
AA102004051080,2004051080,H1080,2010,03P,0,Flw,,.,,,Poly,
AA102004051121,2004051121,H1121,2010,14P,0,Ctl,1,.,65,2,Poly,
AA102004051123,2004051123,H1123,2010,25P,0,Ctl,1,.,66,2,Poly,
AA102004051134,2004051134,H1134,2010,03P,0,Flw,2,.,69,2,Poly,
AA102004051160,2004051160,H1160,2010,16P,0,Ctl,2,.,73,2,Poly,
AA102004051176,2004051176,H1176,2010,11P,0,Ctl,D,.,,,Poly,
AA102004051177,2004051177,H1177,2010,11P,0,Ctl,1,.,65,2,Poly,
AA102004051193,2004051193,H1193,2010,22P,0,Ctl,1,.,65,2,Poly,
AA102004051194,2004051194,H1194,2010,03P,0,Flw,1,.,64,2,Poly,
AA102004051223,2004051223,H1223,2010,01P,0,Flw,D,.,67,2,Poly,
AA102004051231,2004051231,H1231,2010,25P,0,Ctl,2,.,69,2,Poly,Albmn
AA102004051240,2004051240,H1240,2010,02P,0,Flw,2,.,67,2,Poly,
AA102004051253,2004051253,H1253,2010,e10,0,.,1,.,,,Poly,Albmn
AA102004051261,2004051261,H1261,2010,02P,0,Flw,1,.,56,2,Poly,
AA102004051269,2004051269,H1269,2010,01P,0,Flw,1,.,68,2,Poly,Albmn
AA102004051303,2004051303,H1303,2010,e.9,0,.,1,.,66,2,Poly,
AA102004051307,2004051307,H1307,2010,26P,0,Ctl,2,.,65,2,Poly,Albmn
AA102004051312,2004051312,H1312,2010,21P,0,Ctl,2,.,67,2,Poly,
AA102004051338,2004051338,H1338,2010,25P,0,Ctl,2,.,73,2,Poly,Albmn
AA102004051341,2004051341,H1341,2010,02P,0,Flw,1,.,,,Poly,
AA102004051342,2004051342,H1342,2010,02P,0,Flw,2,.,73,2,Poly,Albmn
AA102004051365,2004051365,H1365,2010,25P,0,Ctl,2,.,,,Poly,
AA102005051393,2005051393,H1393,2010,e10,0,.,1,.,66,2,Poly,
AA102005051397,2005051397,H1397,2010,e10,0,.,2,.,,,Poly,
AA102005051399,2005051399,H1399,2010,e12,7,.,H,L,67,2,Life,
AA102005051425,2005051425,H1425,2010,e10,7,.,1,L,69,2,Life,
AA102005051431,2005051431,H1431,2010,e10,7,.,2,L,64,2,Life,
AA102005051451,2005051451,H1451,2010,07P,7,.,1,L,,,Life,
AA102005051478,2005051478,H1478,2010,e12,0,.,2,.,68,2,Poly,Albmn
AA102005051490,2005051490,H1490,2010,01P,7,.,2,L,53,2,Life,
AA102005051500,2005051500,H1500,2010,e12,7,.,1,L,,,Life,Albmn
AA102005051515,2005051515,H1515,2010,e10,7,.,2,L,,,Life,
AA102005051517,2005051517,H1517,2010,06P,0,.,1,.,66,2,Poly,
AA102005051520,2005051520,H1520,2010,04P,0,Flw,1,.,68,2,Poly,
AA102005051525,2005051525,H1525,2010,04P,7,.,2,L,66,2,Life,Albmn
AA102005051527,2005051527,H1527,2010,01P,7,.,2,L,56,2,Life,
AA102005051543,2005051543,H1543,2010,03P,0,Flw,D,.,,,Poly,
AA102005051546,2005051546,H1546,2010,23P,7,.,1,L,,,Life,
AA102005051547,2005051547,H1547,2010,01P,7,.,1,L,73,2,Life,
AA102005051549,2005051549,H1549,2010,e11,0,.,D,.,,,Poly,
AA102005051557,2005051557,H1557,2010,02P,7,.,D,L,,,Life,
AA102005051561,2005051561,H1561,2010,e12,7,.,2,L,,,Life,
AA102005051570,2005051570,H1570,2010,13P,7,.,2,L,73,2,Life,Albmn
AA102005051571,2005051571,H1571,2010,22P,0,Ctl,2,.,56,2,Poly,
AA102005051578,2005051578,H1578,2010,02P,0,Flw,1,.,67,2,Poly,Albmn
AA102005051579,2005051579,H1579,2010,02P,0,Flw,1,.,54,2,Poly,
AA102005051585,2005051585,H1585,2010,22P,7,.,1,L,58,2,Life,
AA102005051591,2005051591,H1591,2010,e11,7,.,2,L,66,2,Life,
AA102005051606,2005051606,H1606,2010,05P,0,.,H,.,,,Poly,
AA102005051608,2005051608,H1608,2010,02P,7,.,1,L,66,2,Life,
AA102005051610,2005051610,H1610,2010,02P,7,.,1,L,69,2,Life,
