UID,ETAG,SEX,STM,LINE,YR,SEA,AGE,RGRP,TRT,LOT,HORN,FACE,STAPLE_CM,STAPLE_IN,RMK,WOOL
95PR00001,01574,1,07,TX,92,1,3.0,0,C,CTL,2,3-,7.5,3.0,TEXAS RAM,y
95PR00002,01958,1,07,TX,92,1,3.0,0,F,FW,7,3,9.4,3.7,TEXAS RAM,y
95PR00003,01957,1,07,TX,92,1,3.0,0,F,FW,7,3,8.5,3.3,TEXAS RAM,y
95PR00004,06139,1,07,TX,91,1,4.0,0,C,CTL,7,3+,7.8,3.1,TEXAS RAM,y
95PR00005,A1015,1,30,82,94,1,1.0,0,C,CTL,1,3+,5.3,2.1,,y
95PR00006,A1031,1,30,82,94,1,1.0,0,C,CTL,2,3+,6.5,2.6,KEEP,y
95PR00007,A1030,1,30,82,94,1,1.0,0,C,CTL,2,2-,7.6,3.0,KEEP,y
95PR00008,A1036,1,30,82,94,1,1.0,0,C,CTL,2,2-,6.0,2.4,,y
95PR00009,A1040,1,30,81,94,1,1.0,0,M,M,3,2,6.8,2.7,,y
95PR00010,A1063,1,30,82,94,1,1.0,0,C,CTL,1,1-,6.8,2.7,,y
95PR00011,A1069,1,30,82,94,1,1.0,0,C,CTL,2,2+,5.2,2.0,,y
95PR00012,A1021,1,30,82,94,1,1.0,0,C,CTL,3,2+,6.4,2.5,,y
95PR00013,A1080,1,30,82,94,1,1.0,0,C,CTL,2,2,5.9,2.3,,y
95PR00014,A1084,1,30,81,94,1,1.0,0,M,M,2,1,7.4,2.9,,y
95PR00015,A1092,1,30,81,94,1,1.0,0,M,M,2,2-,6.1,2.4,,y
95PR00016,A1070,1,30,82,94,1,1.0,0,C,CTL,2,3+,6.3,2.5,,y
95PR00017,A1359,1,30,82,94,1,1.0,0,C,CTL,2,2,7.3,2.9,,y
95PR00018,A1368,1,30,81,94,1,1.0,0,M,M,2,1-,5.1,2.0,,y
95PR00019,A1399,1,30,82,94,1,1.0,0,C,CTL,1,2,6.0,2.4,,y
95PR00020,A1411,1,30,81,94,1,1.0,0,M,M,2,3+,6.4,2.5,,y
95PR00021,A1410,1,30,81,94,1,1.0,0,M,M,2,2,5.9,2.3,,y
95PR00022,A1414,1,30,81,94,1,1.0,0,M,M,1,2-,6.0,2.4,,y
