UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,NOV04,DEC17,IDZ65,YTEX,PREG
03EW00001,H0419,88,,101,1,none,97,e10,green,105,114,0,Green,1
03EW00002,H0407,88,,98,1,none,100,e.9,green,110,118,0,Green,0
03EW00003,H0432,88,,99,1,none,103,e10,green,107,120,0,Green,1
03EW00004,H0439,88,,103,1,none,106,e10,green,119,139,0,Green,1
03EW00005,H0424,88,,100,1,Ram,111,Ram,Red,111,135,0,Green,
03EW00006,H0428,88,,107,1,none,98,e10,green,114,128,0,Green,0
03EW00007,H0484,88,,111,1,none,96,e.9,green,112,119,0,Green,1
03EW00008,H0495,88,,103,1,none,87,e.9,green,97,111,0,Green,1
03EW00009,H0499,88,ENTR*2,109,1,none,91,e.9,green,103,118,0,Green,1
03EW00010,H0471,88,,113,1,Ram,121,Ram,Red,121,147,0,Green,
03EW00899,Z9724,00,,100,1,none,88,e.1,green,104,119,0,Yellow,1
03EW00900,Z9783,00,JxR saveHAIRY,102,1,none,85,e.2,green,96,105,0,Yellow,1
03EW00901,Z9782,00,,107,1,none,83,e.1,green,105,117,0,Yellow,1
03EW00902,Z9794,00,WEAK,0,1,none,104,e.6,green,104,113,0,Orange,1
03EW00903,Z9773,00,,0,1,none,104,e.1,green,110,130,0,Orange,1
03EW00904,Z9778,00,FX.LF.LEG ok,118,1,none,101,e.0,green,112,134,0,Yellow,1
03EW00905,Z9777,00,ENTR,110,1,none,92,e.2,green,96,107,0,Yellow,0
03EW00906,Z9770,00,,96,1,none,89,e.1,green,97,106,0,Yellow,0
03EW00907,Z9700,00,,106,1,none,98,e.1,green,116,117,0,Yellow,1
03EW00908,Z9000,97,,122,1,none,150,973,green,160,176,1130,Purple,1
